_unit_id,_created_at,_id,_started_at,_channel,_trust,_worker_id,_country,_region,_city,_ip,challange,orig_challange,correct,correct_id,id,option_1,option_2,option_3,option_4,option_5
221864222,11/8/2012 01:03:31,689976671,11/8/2012 01:02:39,amt,1.0,2429663,USA,TX,Leander,99.103.69.215,soothe :: passion,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:05:42,689979259,11/8/2012 01:05:17,amt,1.0,9054964,USA,TX,San Antonio,71.20.90.152,betray :: loyalty,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:12:09,689988481,11/8/2012 01:11:01,amt,0.8,996867,USA,CA,Agoura Hills,75.63.29.138,cajole :: compliance,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:15:37,689994107,11/8/2012 01:14:25,amt,1.0,1256871,USA,FL,Palm Harbor,68.200.118.142,balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:17:57,689997136,11/8/2012 01:17:00,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,cajole :: compliance,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:36:49,690027514,11/8/2012 01:35:40,amt,1.0,1256871,USA,FL,Palm Harbor,68.200.118.142,balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:48:12,690045078,11/8/2012 01:45:49,amt,1.0,7869910,USA,"","",166.182.3.97,betray :: loyalty,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 01:53:29,690052753,11/8/2012 01:50:41,amt,1.0,7869910,USA,"","",166.182.3.124,balk :: fortitude,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864222,11/8/2012 02:51:05,690148123,11/8/2012 02:49:39,amt,0.3472,13578919,USA,ID,Moscow,76.178.160.9,soothe :: passion,lull :: trust,cajole :: compliance,3,0,balk :: fortitude,betray :: loyalty,cajole :: compliance,hinder :: destination,soothe :: passion
221864223,11/8/2012 01:10:51,689986550,11/8/2012 01:10:07,amt,0.9,10809411,USA,CA,Glendale,71.92.219.70,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
221864223,11/8/2012 01:11:45,689987908,11/8/2012 01:10:25,amt,1.0,7869910,USA,"","",166.182.3.169,note :: music,word :: language,note :: music,3,2,paint :: portrait,poetry :: rhythm,note :: music,tale :: story,week :: year
