lull trust balk fortitude 1 X X X advanced
lull trust betray loyalty 1 X X X advanced
lull trust cajole compliance 5 X X X advanced
lull trust hinder destination 1 X X X advanced
lull trust soothe passion 1 X X X advanced
swarm bee school fish 5 X X X medium
swarm bee venison deer 1 X X X medium
swarm bee oxen cow 1 X X X medium
swarm bee peak mountain 1 X X X medium
swarm bee skin lion 1 X X X medium
obtain steal quest search 1 X X X advanced
obtain steal ask interrogate 1 X X X advanced
obtain steal testify perjure 5 X X X advanced
obtain steal buy sell 1 X X X advanced
obtain steal ask donate 1 X X X advanced
inadvertent thought ironic wrath 1 X X X hard
inadvertent thought proud prize 1 X X X hard
inadvertent thought artistic work 1 X X X hard
inadvertent thought ungainly skill 5 X X X hard
inadvertent thought prolific design 1 X X X hard
parsimony philanthropy carnal active 1 X X X advanced
parsimony philanthropy prejudice tolerance 5 X X X advanced
parsimony philanthropy generosity kindness 1 X X X advanced
parsimony philanthropy rivalry noise 1 X X X advanced
parsimony philanthropy liveliness patience 1 X X X advanced
devotion obsession ability skill 1 X X X hard
devotion obsession confidence conceit 5 X X X hard
devotion obsession intelligence capability 1 X X X hard
devotion obsession surprise horror 1 X X X hard
devotion obsession pleasure blessing 1 X X X hard
bequest heir gift recipient 5 X X X medium
bequest heir huge weight 1 X X X medium
bequest heir painting artist 1 X X X medium
bequest heir payment donor 1 X X X medium
bequest heir measure gauge 1 X X X medium
prosaic epic normal mean 1 X X X hard
prosaic epic powerful omnipotent 1 X X X hard
prosaic epic ephemeral eternal 5 X X X hard
prosaic epic octagon eight 1 X X X hard
prosaic epic beneficent strong 1 X X X hard
corroded alloy broken contract 1 X X X hard
corroded alloy written rule 1 X X X hard
corroded alloy outdated book 1 X X X hard
corroded alloy adjusted clock 1 X X X hard
corroded alloy corrupted morality 5 X X X hard
depose king eulogize hero 1 X X X hard
depose king inaugurate mayor 1 X X X hard
depose king promote general 1 X X X hard
depose king unfrock minister 5 X X X hard
depose king elect leader 1 X X X hard
gauche adroit weak strong 5 X X X medium
gauche adroit formidable strong 1 X X X medium
gauche adroit round square 1 X X X medium
gauche adroit sharp pointed 1 X X X medium
gauche adroit stately grand 1 X X X medium
archeology science ridge mountain 1 X X X hard
archeology science pride lion 1 X X X hard
archeology science oxen cow 1 X X X hard
archeology science chair furniture 5 X X X hard
archeology science mammal horse 1 X X X hard
apprehensive petrified happy hostile 1 X X X hard
apprehensive petrified elated deaden 1 X X X hard
apprehensive petrified sincere satisfied 1 X X X hard
apprehensive petrified emotional accord 1 X X X hard
apprehensive petrified cheerful hilarious 5 X X X hard
stay depart take move 1 X X X easy
stay depart stagnate flow 5 X X X easy
stay depart run walk 1 X X X easy
stay depart sleep rest 1 X X X easy
stay depart create design 1 X X X easy
stammer speech ovation adulation 1 X X X hard
stammer speech hobble movement 5 X X X hard
stammer speech generosity kindness 1 X X X hard
stammer speech fighting noise 1 X X X hard
stammer speech brightness sight 1 X X X hard
corpulence obesity ability question 1 X X X hard
corpulence obesity enigma puzzle 5 X X X hard
corpulence obesity intelligence capability 1 X X X hard
corpulence obesity strong weak 1 X X X hard
corpulence obesity pleasure blessing 1 X X X hard
callow experience painting artist 1 X X X advanced
callow experience heavy weight 1 X X X advanced
callow experience barren fruit 5 X X X advanced
callow experience gift donor 1 X X X advanced
callow experience measure ounce 1 X X X advanced
